subject,model,n_matched,pearson_r,pearson_p,spearman_r,spearman_p
sub-08,resnet,194,0.015577152915574589,0.8293185892433397,0.006515924116479642,0.9281515150138391
sub-08,vit,194,0.020372305884037618,0.777982692173779,0.052471720363392815,0.46745621736529264
sub-08,ensemble,194,0.00016342978025774203,0.9981955035989185,0.005242159154877492,0.9421694137168432
sub-09,cornet,194,0.06174735114431529,0.39238531511461316,0.06594240117022018,0.36096357817325325
sub-09,resnet,194,0.02558802231952716,0.723222963207638,0.03476556561327674,0.6303427371818495
sub-09,vit,194,0.05815269563994109,0.4205769088107356,0.04383641570757643,0.5439062180081338
sub-09,ensemble,194,0.051323111456116434,0.47727196508896264,0.06776511774108056,0.3478134557350369
sub-14,cornet,194,-0.030687823833347606,0.6710045500889579,-0.017023252373928082,0.8137498673407056
sub-14,resnet,194,0.00535417158381865,0.9409359305926159,-0.05629958951896882,0.43555947890320196
sub-14,vit,194,0.01994671352663626,0.7825038279093224,-0.0036758391440299453,0.9594308510747032
sub-14,ensemble,194,-0.0007974438193073373,0.9911952598849142,-0.016541687040057852,0.8189266228307263
sub-15,cornet,194,0.0010756774948193072,0.9881234210377605,0.0007749421669618241,0.991443695638825
sub-15,resnet,194,0.006613164479712128,0.9270822293289107,-0.029244821734539163,0.685633754103034
sub-15,vit,194,0.04208321909756237,0.5601480520141724,-0.0038927900794254082,0.9570386609395707
sub-15,ensemble,194,0.01789433481871622,0.8044064821552399,-0.012845303299873033,0.8589071628180712
sub-16,cornet,194,-0.09425113395213361,0.19114666146617376,-0.08540059908042387,0.23642497409825908
sub-16,resnet,194,-0.0810945493164608,0.2609836294749039,-0.03979981345506691,0.5816452080050335
sub-16,vit,194,-0.03556700194759194,0.6224752046193999,-0.004323404814831554,0.9522916837187682
sub-16,ensemble,194,-0.07724099944593053,0.28439873356586315,-0.06998064699042211,0.33224200247748403
sub-18,cornet,194,-0.026387628547390737,0.7149430507176601,0.001305814531603752,0.9855827231479899
sub-18,resnet,194,-0.03887962741556232,0.590415173820902,0.002574648790128732,0.9715781705294582
sub-18,vit,194,-0.031243721327269405,0.6654013175501632,-0.01875064201862984,0.7952485117568894
sub-18,ensemble,194,-0.035864249728722174,0.6195679634028185,0.005531427068738109,0.9389842779723213
sub-19,cornet,194,0.03016586728287697,0.6762822505100756,0.05888492149909808,0.41474056031032414
sub-19,resnet,194,0.032253392577966805,0.6552716655124063,0.03307597802549995,0.6470651395816654
sub-19,vit,194,0.08480912719918181,0.23969873906247163,0.09002888570219374,0.21188815895217564
sub-19,ensemble,194,0.0531376219137535,0.46181681841617606,0.06346225752240388,0.3793464341368804
sub-20,cornet,194,0.011019955323687861,0.8787902888279101,-0.03067965632999552,0.6710870117663212
sub-20,resnet,194,0.07882183166308528,0.2746279682059821,0.0815168486233066,0.25850049884812604
sub-20,vit,194,0.06315502629864028,0.38166274518544435,0.043706573859877626,0.5451010753516221
sub-20,ensemble,194,0.058745683460392904,0.41584671129021394,0.010711952435150981,0.8821531434089662
sub-21,cornet,194,-0.09496299617988073,0.18780101194574644,-0.05579830137278991,0.4396643259269729
sub-21,resnet,194,-0.03263164875908467,0.6514927843559656,-0.06461604204246156,0.3707245639083931
sub-21,vit,194,-0.021241697853007956,0.7687702942468267,-0.05177320409412711,0.47341229997485834
sub-21,ensemble,194,-0.05217591098600337,0.4699734696594013,-0.06343267330394087,0.3795691046829313
sub-23,cornet,194,-0.14404837598086623,0.04508519300412923,-0.13642187095528263,0.05786300131598946
sub-23,resnet,194,-0.13284609251891702,0.06480989429736232,-0.17354020372021547,0.015524568568126947
sub-23,vit,194,-0.12709759537596843,0.07739698780321948,-0.14405459931874118,0.045075819463279085
sub-23,ensemble,194,-0.14731621060835215,0.0403825341286268,-0.161249604516524,0.024694263353202992
sub-24,cornet,194,-0.06396574257081147,0.375569103353328,-0.018660245795548393,0.7962139778379871
sub-24,resnet,194,-0.07393601316033473,0.30557207374752415,-0.05467574463888763,0.4489359500261771
sub-24,vit,194,-0.03612308650062802,0.617041198662099,0.019278227247886987,0.7896199496708197
sub-24,ensemble,194,-0.06453358772380885,0.37133668449125423,-0.042603739938284035,0.5553016216658666
sub-25,cornet,194,0.08213852451007066,0.25487467562121824,0.06689402686411393,0.35405985094652476
sub-25,resnet,194,0.05444549284340292,0.45085120103877063,0.004905227777937568,0.9458805266243856
sub-25,vit,194,0.08095906493373459,0.2617837373843371,0.015767566656942223,0.8272646470741368
sub-25,ensemble,194,0.078071395270549,0.2792375198783625,0.043201998578313944,0.5497566205355973
sub-26,cornet,194,-0.07586485872588807,0.2930921657699549,-0.06451414084553339,0.37148114395305704
sub-26,resnet,194,-0.09577885722259757,0.1840195529544299,-0.07388247669215565,0.30592337706045875
sub-26,vit,194,-0.05991334081937053,0.40662407406318196,-0.08260982113874586,0.2521494062961895
sub-26,ensemble,194,-0.08591525970208051,0.23360198569652207,-0.09197651341767575,0.20212841547812485
sub-27,cornet,194,0.025734944347266614,0.7216991412439012,0.031639499862351206,0.6614232677398013
sub-27,resnet,194,0.04018576482875686,0.577984916854122,0.0695763293380942,0.3350498308956249
sub-27,vit,194,0.06098893229446718,0.39823672961878887,0.0493588031540064,0.49431467809619045
sub-27,ensemble,194,0.04664137204658745,0.5184137842300883,0.031672371216199,0.6610932954244381
sub-28,cornet,194,-0.054277322516623566,0.45225294914641107,-0.04126587583667867,0.5677989128722827
sub-28,resnet,194,0.010376063162525182,0.8858228706774616,0.022821759192679546,0.7521108706183781
sub-28,vit,194,-0.0567131907601443,0.4321892417647597,0.006951469554962958,0.9233631502702474
sub-28,ensemble,194,-0.03333283905903292,0.6445112043894868,-0.004841128637934363,0.9465866776252345
sub-29,cornet,194,0.1581667463599291,0.02761909984157334,0.14759320056045655,0.040003632655047604
sub-29,resnet,194,0.20551798111067154,0.004042998934769536,0.15794767702251275,0.027837777353814427
sub-29,vit,194,0.13974406962779212,0.051970561456469326,0.17342844111713296,0.015592257668424694
sub-29,ensemble,194,0.18676859344882552,0.009119026028887945,0.15775044889942597,0.028035918012963738
sub-30,cornet,194,0.13399273323177915,0.06251149285868315,0.10284871370283473,0.15356654676050466
sub-30,resnet,194,0.1516002928988647,0.03484858418099837,0.17125071392471636,0.01696358772830515
sub-30,vit,194,0.17105122617610724,0.017094304735991682,0.16280770668890962,0.023320137480817286
sub-30,ensemble,194,0.16730290259127048,0.01971864750341507,0.14053572088933447,0.05064246488478226
sub-42,cornet,194,0.10794783387123608,0.13408023109411873,0.11157770171711733,0.12140703530285525
sub-42,resnet,194,0.1792135944023402,0.012408777038218494,0.19827096678760583,0.0055830342154467106
sub-42,vit,194,0.1855891135016952,0.009575339504013132,0.18805948071478756,0.00864178235654673
sub-42,ensemble,194,0.17543446882423194,0.014415710954849182,0.17552234635723765,0.014365995814720771
sub-43,cornet,194,-0.010715343907906875,0.8821161028469128,0.00539994165334692,0.9404319499482148
sub-43,resnet,194,0.12255202691893553,0.08869091355297176,0.12056472985910514,0.09402571197448695
sub-43,vit,194,0.08829539882782776,0.22085509422562993,0.1102529861570511,0.1259198101792928
sub-43,ensemble,194,0.07875046450070451,0.2750641089081279,0.08610075891738195,0.23259033159671277
