subject,model,n_matched,pearson_r,pearson_p,spearman_r,spearman_p
sub-15,vit,194,-0.01601461623425665,0.8246015374368529,-0.03405065198546097,0.6373962003582883
sub-15,ensemble,194,0.06859873430362212,0.34190131201200513,0.007916702591780619,0.9127614874561248
sub-16,cornet,194,-0.049831770451584635,0.49018183473116217,-0.06503987687393988,0.36758793671514167
sub-16,resnet,194,-0.07460459752700391,0.301207224459922,-0.06378835047532799,0.3768973265938327
sub-16,vit,194,-0.060189109445008326,0.4044637514354114,-0.067181016079423,0.35199419355450384
sub-16,ensemble,194,-0.10892539587167695,0.13057136366516706,-0.12511314271102048,0.08217572883036782
sub-18,cornet,194,0.09663552154149066,0.18010949684094288,0.03118281659065748,0.6660143173375772
sub-18,resnet,194,-0.10554787962868134,0.14300122818151423,-0.1217214966093284,0.09089022715507737
sub-18,vit,194,0.04536480762164634,0.529939248427768,0.038099918708056325,0.5978932278130243
sub-18,ensemble,194,-0.01258563666764099,0.8617305461819561,-0.039250761886744194,0.5868707577842369
sub-19,cornet,194,0.07661503191261015,0.28833143023807534,0.05989170736828743,0.4067938351843108
sub-19,resnet,194,-0.02026256493871865,0.7791477812112702,-0.008236868668077822,0.9092482409219386
sub-19,vit,194,0.1818055139197788,0.011178374890494721,0.16988514477070527,0.017876074893671164
sub-19,ensemble,194,0.1303754331494701,0.0699976572700781,0.12258978041381546,0.08859195926377209
sub-20,cornet,194,0.08625057422230513,0.23177554061581138,0.04521174542512672,0.5313297930196732
sub-20,resnet,194,0.041712284987070775,0.5636140863443296,0.0361342086306391,0.6169327248747006
sub-20,vit,194,-0.12325269192284813,0.08686876881953212,-0.11172295002797193,0.12091996646212813
sub-20,ensemble,194,-0.02221653489986702,0.7584790117811216,-0.022282978048095776,0.757779096472941
sub-21,cornet,194,-0.027005881068401006,0.7085637332548615,-0.0410451335295014,0.5698736814106306
sub-21,resnet,194,-0.044217745304227785,0.5404045579374132,-0.031280309643586114,0.6650331666096884
sub-21,vit,194,0.000960889752252535,0.9893907165007871,-0.000184057578299789,0.997967743934296
sub-21,ensemble,194,-0.03972985812444506,0.5823098006150902,-0.030480754462192443,0.673096398522041
sub-23,cornet,194,-0.03742474237309879,0.6044029979928441,-0.06611491616111244,0.359705861246367
sub-23,resnet,194,-0.10343501735832009,0.15122293719209948,-0.11121533791724135,0.12262880581651037
sub-23,vit,194,-0.1355628243363541,0.059473213110946783,-0.137859126146542,0.0552494674890182
sub-23,ensemble,194,-0.17450801167135313,0.014949065968618351,-0.18882993134653933,0.008367620766309718
sub-24,cornet,194,-0.047425416014969385,0.5113993144210723,-0.08031745382456607,0.26559562565244565
sub-24,resnet,194,-0.10738145024547836,0.1361460617119337,-0.09523806018722521,0.1865198033506341
sub-24,vit,194,0.06862884238870673,0.34168898110005913,0.09368530735459263,0.19383684753099858
sub-24,ensemble,194,-0.04699326757872903,0.5152594502446335,-0.034665351278736246,0.6313294765072157
sub-25,cornet,194,0.13168296928657186,0.06721155162431017,0.0885605345699979,0.2194663935111486
sub-25,resnet,194,-0.049803075771787185,0.4904320456534682,-0.029393427694576226,0.6841216548815617
sub-25,vit,194,-0.016036661441157826,0.824363994517927,-0.018221700251679115,0.8009021797668263
sub-25,ensemble,194,-0.0015630066100495012,0.9827435121945881,0.0017658494397523718,0.9805044280644184
sub-26,cornet,194,0.08310955995767914,0.249281759918561,0.11931266771952104,0.09751584776526787
sub-26,resnet,194,-0.006120489755023075,0.932501142070666,0.015423792358306588,0.8309736912579144
sub-26,vit,194,-0.11065638803783331,0.12453206094903503,-0.1157722167505673,0.10794265094770165
sub-26,ensemble,194,-0.04888091783023478,0.49850920079639016,-0.02858256084601323,0.6923875334763496
sub-27,cornet,194,-0.193564646962448,0.006845996198582454,-0.0994277795381553,0.16779014242656312
sub-27,resnet,194,-0.005514026515403272,0.9391758490049389,-0.02053933897562228,0.7762102993058728
sub-27,vit,194,0.011548181478580322,0.8730280608759787,0.015276778998882488,0.8325609915888142
sub-27,ensemble,194,-0.061292395579056407,0.3958891923853859,-0.05061723601071771,0.4833592888523162
sub-28,cornet,194,-0.013153607916242946,0.855557259300521,-0.031239573323210073,0.6654430597412552
sub-28,resnet,194,-0.058973194088408155,0.4140401897896401,-0.07308522749164958,0.3111863079372322
sub-28,vit,194,-0.01692809352133958,0.8147721787095669,-0.016749239625280802,0.8166944891198722
sub-28,ensemble,194,-0.057235840079149,0.4279519336319419,-0.06212739809766893,0.38947270395762074
sub-29,cornet,194,0.07771913076128874,0.2814192031593044,0.061273900737509296,0.396032027390451
sub-29,resnet,194,0.007981588972839787,0.912049337257187,-0.00976650096807517,0.8924887419543535
sub-29,vit,194,0.1456439275662144,0.04273477822012206,0.13859535645974116,0.053948971677849365
sub-29,ensemble,194,0.12706573710605545,0.07747189135641945,0.0957529022759086,0.18413898431776962
sub-30,cornet,194,-0.02303684280809693,0.7498517720874008,-0.04026389379907165,0.5772452668160374
sub-30,resnet,194,0.07194645255872799,0.3188059331086901,0.040287026146859965,0.5770263568778234
sub-30,vit,194,0.07656015220784479,0.28867794295907406,0.07896070109060949,0.2737806496367065
sub-30,ensemble,194,0.09330997752954301,0.19563647883698615,0.06367771559295472,0.37772715868437007
sub-42,cornet,194,-0.02842191105010822,0.6940295390340777,-0.04784592554183215,0.5076575755957831
sub-42,resnet,194,0.031567884179937236,0.6621423929703837,0.03651997116243668,0.6131755405943404
sub-42,vit,194,0.05327206377623131,0.4606828451082975,0.042885415743850845,0.5526875156086137
sub-42,ensemble,194,0.04767880937638962,0.5091428838016975,0.0313227155084127,0.664606579860512
sub-43,cornet,194,0.013182509248581189,0.8552433614145635,0.006336722257930182,0.930122410972471
sub-43,resnet,194,-0.022829100019327166,0.7520337324819869,-0.009333776041102235,0.8972254144754079
sub-43,vit,194,0.013066536567226757,0.856503079655321,0.0042333243008951475,0.9532845729690392
sub-43,ensemble,194,-0.0031817813610267574,0.9648798539426976,-0.00040459505364775974,0.9955327165589344
